Name,Paper,Tracer Warning,Selection,Hide,Robust,Clean Accuracy,Robust Accuracy,Network,Backbone,Framework,Pretraining-Dataset,Training-Dataset,Visual Category,Visual Category_micro,Precision,Conv Weight Initializer,Optimizer,Task,Input Shape,Accessible
hso_normal_training_robustbench_Rebuffi2021Fixing_R18_ddpm_cifar100_13,https://arxiv.org/abs/2103.01946,,,,False,63.45,0.00,Rebuffi2021Fixing_R18_ddpm,PreActResNet-18,pytorch,False,cifar100,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Andriushchenko2020Understanding_cifar10_13,https://arxiv.org/abs/2007.02617,,,,False,94.51,0.00,Andriushchenko2020Understanding,PreActResNet-18,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Zhang2019Theoretically_cifar10_13,https://arxiv.org/abs/1901.08573,,,,False,95.26,0.00,Zhang2019Theoretically,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Addepalli2021Towards_RN18_cifar10_13,https://openreview.net/forum?id=SHB_znlW5G7,,,,False,94.87,0.00,Addepalli2021Towards_RN18,ResNet-18,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Hendrycks2019Using_cifar10_13,https://arxiv.org/abs/1901.09960,,,,False,95.35,0.00,Hendrycks2019Using,WideResNet-28-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
timm_resnet50_imagenet1k_13,,,,,False,80.37,0,resnet50,ResNet-50,pytorch,False,imagenet,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Huang2021Exploring_cifar10_13,https://arxiv.org/abs/2110.03825,,,,False,95.60,0.00,Huang2021Exploring,WideResNet-34-R,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Chen2021LTD_WRN34_10_cifar10_13,https://arxiv.org/abs/2111.02331,,,,False,95.64,0.00,Chen2021LTD_WRN34_10,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Addepalli2021Towards_PARN18_cifar100_13,https://openreview.net/forum?id=SHB_znlW5G7,,,,False,76.66,0.00,Addepalli2021Towards_PARN18,PreActResNet-18,pytorch,False,cifar100,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Carmon2019Unlabeled_cifar10_13,https://arxiv.org/abs/1905.13736,,,,False,95.10,0.00,Carmon2019Unlabeled,WideResNet-28-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Rade2021Helper_extra_cifar10_13,https://openreview.net/forum?id=BuD2LmNaU3a,,,,False,88.67,0.00,Rade2021Helper_extra,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Addepalli2021Towards_WRN34_cifar10_13,https://openreview.net/forum?id=SHB_znlW5G7,,,,False,95.26,0.00,Addepalli2021Towards_WRN34,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
hso_normal_training_robustbench_Gowal2020Uncovering_28_10_extra_cifar10_13,https://arxiv.org/abs/2010.03593,,,,False,88.20,0.00,Gowal2020Uncovering_28_10_extra,WideResNet-28-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
